Source,Target,Type,Id,Label,timeset,Weight
Napoleon_Bonaparte,Рапп,Directed,5789,,,2
Anatole_Kuragin,цыганка Матреша17_5_2_,Directed,5790,,,1
Nikolai_Rostov,Countess_Natalya_Rostova,Directed,5791,,,12
"горничная3_3_1_",Princess_Mariya_Bolkonskaya,Directed,5792,,,1
Pierre_Bezukhov,офицер21_2_3_,Directed,5793,,,5
Uncle,Anisya Fedorovna,Directed,5794,,,1
Gerasim,Pierre_Bezukhov,Directed,5795,,,8
"доктор13_4_4_",Pierre_Bezukhov,Directed,5796,,,1
Ilyin,мужик13_2_3_,Directed,5797,,,2
Pierre_Bezukhov,Julie_Karagina,Directed,5798,,,10
"исправник4_2_3_",Yakov_Alpatych,Directed,5799,,,1
Nastasya Ivanovna (buffoon),Count_Ilya_Rostov,Directed,5800,,,1
young Nikolenka Bolkonsky,3,Directed,6714,,,2
Lieutenant_Alphonse_Karlovich_Berg,Count_Ilya_Rostov,Directed,5802,,,6
Prince_Nikolay_Bolkonsky,Yakov_Alpatych,Directed,5803,,,5
"Богданыч",адъютант19_2_1_,Directed,5804,,,1
"офицер4_2_3_",солдаты4_2_3_,Directed,5805,,,1
"гвардеец29_2_3_",Napoleon_Bonaparte,Directed,5806,,,1
Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya,Anna_Pavlovna_Scherer,Directed,5807,,,2
NatashaRostova,Dunyasha,Directed,5808,,,2
viscount,HeleneKuragin,Directed,5809,,,1
"камердинер32_3_3_",доктор32_3_3_,Directed,5810,,,1
Austrian minister of war,адъютант9_2_1_,Directed,5811,,,1
AndreyBolkonsky,старуха13_2_2_,Directed,5812,,,1
"адъютант26_2_3_",Napoleon_Bonaparte,Directed,5814,,,1
AndreyBolkonsky,Сперанский,Directed,5815,,,6
"рыжий8_4_4_",плясун8_4_4_,Directed,5817,,,1
Anna_Pavlovna_Scherer,Boris_Drubetskoy,Directed,5818,,,3
"цыганка Матреша17_5_2_",Fedor_Ivanovich_Dolokhov,Directed,5820,,,1
Michaud,Wolzogen,Directed,5821,,,1
Piotr_Petrovich_Konovnitsyn,Shcherbinin,Directed,5822,,,1
Countess_Natalya_Rostova,Princess_Mariya_Bolkonskaya,Directed,5823,,,3
"солдат8_4_4_",солдаты8_4_4_,Directed,5824,,,1
"старый солдат8_4_4_",фельдфебель8_4_4_,Directed,5825,,,1
"учитель15_3_4_",Pierre_Bezukhov,Directed,5826,,,2
"генерал15_2_3_",Piotr_Petrovich_Konovnitsyn,Directed,5827,,,1
Marya_Dmitriyevna_Akhrosimova,Sonya_Rostova,Directed,5828,,,2
"гусар7_2_1_",пехотинец7_2_1_,Directed,5829,,,1
AndreyBolkonsky,Mikhail_Ilarionovich_Kutuzov,Directed,5831,,,10
little Natasha,Nikolai_Rostov,Directed,5832,,,1
"доктор8_2_3_",Princess_Mariya_Bolkonskaya,Directed,5833,,,4
Countess_Natalya_Rostova,Count_Ilya_Rostov,Directed,5834,,,10
Anisya Fedorovna,NatashaRostova,Directed,5835,,,1
Kochubey,екатериненский старик5_3_2_,Directed,5836,,,2
Princess_Mariya_Bolkonskaya,mademoiselle_Bourienne,Directed,5837,,,8
Nikolai_Rostov,young Nikolenka Bolkonsky,Directed,5838,,,4
"Митенька",Count_Ilya_Rostov,Directed,5839,,,1
